UniqueCount	AmbigCount
1184	24
1	59
43	481
2	0
243	2
210	29
0	27
9	42
3	42
390	0
19	1307
0	1307
68	297
0	297
26	885
0	72
466	117
261	2235
0	2071
131	871
1	487
14	289
2	13
9	202
1781	33
1	32
2600	980
88	49
9	0
131	99
110	0
43	0
328	38
1495	481
0	252
70	503
22	577
10	362
0	81
102	311
477	19
1	6
6	89
11	42
60	89
1	16
50	18
1	106
47	153
0	84
1	25
0	7
0	563
1	0
0	390
1	287
180	1571
380	889
46	132
193	195
110	15
78	908
23	253
128	295
0	1477
9	1
1	2
65	3
97	0
31	9
0	9
2056	0
218	392
144	342
1069	1231
16	66
0	75
2	1369
215	1656
225	344
46	800
0	1246
76	1127
6	173
19	0
126	116
0	34
36	1
0	565
0	428
0	113
171	0
9	0
255	19
0	19
98	0
40	0
1	0
5	0
4	9
263	335
1074	1271
1	3
99	0
59	0
0	3600
259	4183
0	5031
18	2697
13	2761
225	789
5	615
1	3059
0	2982
245	1137
0	2568
259	3757
136	4673
0	2520
828	524
80	510
637	2546
0	151
1	151
4	391
114	0
3	0
63	930
0	2324
4	2215
9	2115
1	2397
0	835
319	2614
750	904
20	2513
14	2525
0	22
8	15
0	13
22	2
1	11
27	67
293	4910
2	1096
30	6316
377	338
44	5399
0	64
0	5771
117	1294
49	2296
27	357
0	769
83	766
1	253
72	2825
5	3014
6	262
0	858
9	2612
25	805
161	2342
0	798
0	129
0	921
0	751
40	32
1	134
86	134
1	0
818	62
6	23
20	30
42	3
47	6
1	0
100	1
0	1
1309	497
6	378
0	119
128	1753
6	718
41	13593
4	9554
0	13188
323	11651
451	12542
262	12698
0	10976
1	9686
16	11342
3	11270
22	7446
1	1
79	4006
601	577
331	1554
1	1505
251	1377
300	1595
84	0
8	106
4	0
2311	4599
360	4734
197	592
50	1420
360	0
1	1035
38	894
114	898
9	61
0	151
6	1234
0	456
117	1234
1086	0
664	2808
52	1886
2	2327
0	1356
98	387
0	275
19	302
24	0
17	0
0	10171
1	10794
0	10154
0	10777
1	354
6	367
1	152
1	0
118	210
12	2167
1	3
1	378
137	378
0	362
1	0
0	135
31	232
7	0
1841	0
75	2749
1	2260
0	3425
0	2873
4	1395
47	2894
70	2846
177	815
74	2674
85	1991
157	1653
27	1857
0	890
5	246
3	346
73	724
0	461
137	61
257	57
1	0
70	0
1	0
24	0
12	0
34	0
0	2
0	2
1	180
0	180
79	152
50	80
20	0
2	0
8	270
128	1228
461	930
1	675
1	32
15	31
7	11
0	1391
1	1789
207	1828
0	1789
5	678
1	609
0	499
1	264
3	386
1529	0
1	33
357	33
1	34
1	197
757	201
19	0
8	1255
0	1371
19	1197
6	639
36	829
0	722
0	659
189	103
0	696
205	599
0	34
1	142
1	210
5	227
68	234
15	0
119	321
19	61
0	108
14	0
228	0
1515	0
40	3002
0	2090
1	2648
0	2684
177	145
65	2851
82	1
374	818
0	5462
6	4116
5	2417
0	4152
218	2
287	887
9	1018
173	1
1687	1356
80	756
2754	1318
0	341
349	0
21	0
3	385
2	133
70	143
2	439
1	50
336	10051
0	9700
1	9601
4	7882
76	4134
0	9793
0	2538
2	8542
0	7862
2	5985
525	7704
297	7312
0	9641
46	7929
157	7487
1	7192
0	8042
6	2376
2	1067
129	1057
46	5076
0	1416
6	1537
11	1905
39	1050
3	1289
327	2202
0	450
74	256
14	2296
35	805
104	1022
44	1634
0	1436
149	1472
2	534
430	184
0	466
0	1495
5	1060
0	780
20	768
2	649
1	428
92	370
