UniqueCount	AmbigCount
1	1197
1	10
15	679
129	0
4	441
0	461
0	142
0	3487
0	1444
0	79
6	156
0	105
0	709
0	481
273	850
3	237
52	15
0	180
0	41
0	699
532	3165
1	699
1	46
0	116
31	49
31	67
1	787
3	119
28	0
409	352
525	0
13	0
1	3
0	607
172	2263
73	3308
82	4989
3	2180
0	995
628	1538
15	0
0	660
69	1702
5	474
315	3371
33	763
2	583
151	58
55	519
1	302
1	34
0	31
0	413
941	0
16	1994
0	1195
12	1010
46	618
0	159
21	214
5	38
1	331
29	379
5	113
0	460
1	4
3	1
134	16
5	107
2	1
0	43
4	31
226	4199
632	999
158	548
19	1281
0	376
12	1944
1	1978
1	911
909	1646
2	1791
224	1781
150	551
0	2
6	34
0	122
7	1
0	505
65	1101
0	255
3	2
50	10
3311	240
0	1
17	0
39	0
76	24
287	0
2	65
73	1856
61	3766
2	649
30	0
1	0
0	4609
223	5619
0	7649
0	2603
3	6303
331	1865
168	1731
398	7235
3	6413
1	566
65	5473
4	5520
15	6480
25	2500
6	335
522	816
0	2226
0	88
1	88
0	20
112	0
40	0
5	906
0	1771
36	1907
0	1708
99	1958
0	1155
104	1789
0	183
0	1838
2	1819
0	1
437	267
0	28
2	553
1	22
0	264
13	7852
1	6739
347	15189
1	359
2	8165
147	499
0	8744
287	2164
56	3048
36	371
0	989
1	2457
136	884
146	3667
0	4412
27	267
0	1101
19	3681
3	2647
9	2703
13	2635
22	754
0	5092
0	2747
41	93
1	2
3	2
1178	41
1478	96
14	40
11	33
764	16
25	7
129	0
2678	25
2	25
186	50
5	39
1	11
1081	556
1	218
0	2596
1	1714
42	2604
76	2121
27	2334
0	2421
0	2170
3	1754
1	2177
6	1943
9	1296
1	0
0	618
585	113
0	219
0	521
43	363
317	594
66	0
0	67
2	0
23	214
0	314
796	479
2	12
1	0
0	4553
490	4851
397	4446
4	266
1	822
0	769
0	303
97	769
55	0
44	607
32	560
6	547
103	491
21	165
28	138
0	103
1	0
1	0
0	760
0	740
0	724
0	704
0	26
0	24
1	10
720	0
65	31
1	174
51	49
0	70
2	70
0	70
1	0
19	64
1	26
2	0
1	0
2	812
2	1139
0	1716
0	1830
2	304
5	1660
1	898
47	181
2	1007
82	1731
4	1317
22	1432
14	1072
1337	1039
2	334
408	2929
5	2234
1	16
42	33
1	0
1	0
40	0
2	0
1	0
374	0
46	2
1	2
32	1654
2	1654
1	763
0	213
1	0
408	40
32	171
37	522
224	352
0	267
154	235
179	236
7	43
0	2202
5	2040
0	1761
0	2014
141	1252
5	1110
0	1105
1	314
0	383
1112	0
267	107
26	23
68	121
140	96
195	89
1	0
24	2076
0	3856
9	2013
0	1375
0	2215
10	1452
0	1720
2	189
0	3539
1	1229
3	93
195	454
0	1490
718	2264
3	666
14	0
0	321
1	246
103	404
62	0
93	0
1	0
0	385
0	315
53	415
1	423
21	35
0	358
37	1
0	76
15	3035
0	3500
379	3419
0	2040
693	17
2	410
322	877
6	2
1	89
16	49
2	12
0	12
1	0
7	0
445	1859
1	449
297	331
1	1289
1	767
145	6997
4	9099
0	8750
92	6735
982	5561
0	8972
21	3072
3	7199
8	6655
4	5537
278	5913
350	6425
0	8942
0	6608
21	6192
42	6372
0	6925
0	1916
1	876
7	482
0	4542
0	714
26	1496
0	1390
7	841
8	635
56	2524
0	178
5	211
53	2320
1	513
0	767
0	1893
0	1732
434	1866
15	221
1	62
0	1051
0	2171
2	2139
49	2112
345	2433
1	939
115	1262
1	988
201	1296
78	511
15	711
4	191
6	73
0	1
9	0
47	189
13	221
51	34
2	0
1	1876
251	2241
1	1311
6	470
0	214
560	525
88	206
20	86
0	87
0	1403
0	2176
0	2593
0	1610
9	2504
10	764
6	644
5	555
1	33
21	0
147	1641
389	1420
0	1416
81	1526
3	79
0	169
1	0
0	4315
24	4785
0	3528
0	2849
508	9360
0	5415
67	3243
10	5553
0	6396
0	1961
47	2537
1	765
0	473
94	777
0	706
0	2098
0	17
58	523
716	0
70	65
15	4249
0	2915
0	2919
0	4256
0	7
0	5
0	3250
7	3309
1	1191
15	137
37	122
9	128
1	0
9	14
1	0
0	2
20	0
13	1363
3	1388
43	2232
1	1380
1	243
2	97
595	0
174	201
68	35
60	174
87	212
101	404
144	2514
2478	2920
2	18
378	23
1	2
1	20
76	2679
2860	2713
2	186
21	1673
47	1036
114	1
0	1
2	902
0	922
0	961
0	961
22	9
0	72
0	50
231	176
1	176
7	0
24	984
2696	976
0	8
1	2
1	722
886	722
135	0
1519	0
199	0
1	0
1	5355
3	5530
0	4912
0	5676
179	5696
8	4876
0	5362
660	993
6	227
55	4917
0	232
0	3844
52	1110
284	146
25	766
0	5490
0	3174
0	479
1	4854
86	4292
2	41
444	147
8	4113
1	411
1	55
112	398
0	463
0	1308
0	1127
1	1154
0	422
185	426
4	1232
91	95
6	583
114	1083
5	781
0	345
22	506
16	504
17	69
45	71
0	1753
31	1701
21	1465
0	1597
0	1554
11	1560
11	1558
182	1578
0	114
0	1
96	887
0	1427
3	1178
85	543
2	494
1	0
4	0
0	976
0	1202
0	1131
0	234
2	885
13	1071
0	943
0	981
0	1169
0	1195
0	1164
0	29
6	108
7	107
0	2
6	177
1	16
1	58
25	115
1	119
274	259
1173	29
3	0
397	0
21	851
1	0
13	106
33	0
0	3
0	1532
4	1591
9	1280
0	114
0	1132
0	594
2	2991
6	2920
537	2860
12	1608
1	2
0	852
100	692
2	195
8	799
71	132
0	287
1	507
1	275
92	277
1	265
1	171
2	0
9	1082
20	810
0	1164
1192	256
114	517
1	237
99	414
1	150
117	726
51	748
17	0
70	465
102	469
1	421
199	135
7	777
16	435
1	3
1	149
101	372
14	1
47	1638
0	1816
0	611
2	576
378	305
1	395
0	387
1	155
88	229
1401	200
78	184
103	184
5	3509
8	6900
0	3780
338	5730
0	6879
0	4967
1	1307
404	5392
0	4563
66	4073
1	0
204	6394
1	2130
0	793
11	4112
0	2562
0	3008
0	594
4	3418
1	0
1	0
171	5099
0	310
52	54
1	12
2	12
1	1
4	4977
654	164
0	4081
0	499
44	893
4	581
31	849
27	646
3	926
259	1077
10	697
1	384
1	194
25	609
2	19
270	4305
100	720
1	2666
0	2940
141	109
77	0
270	0
1	0
5	2511
0	2511
202	4717
101	4911
0	1242
90	1061
0	1047
0	1936
622	5771
5087	5776
2	1748
1	478
0	1146
1	1
1	0
12	0
16	0
1	0
1	0
1	0
18	153
4	155
10	375
184	421
21	329
270	90
2	38
1	17
1	83
0	119
272	178
23	64
95	101
1	0
358	22
0	22
39	0
6	901
0	52
0	1007
16	133
43	0
0	574
7	104
1	285
263	353
0	452
1	157
2	177
0	158
0	22
1	8
1	3
1	40
247	41
1	5
0	12786
394	13899
0	14008
4	12567
255	11731
82	6734
346	7053
157	0
6	0
0	1795
123	1649
0	1199
0	1575
8	186
1	69
33	4
1	0
0	185
28	404
84	75
2029	0
8	52
475	0
0	2
0	2
1	9
1	0
27	208
4	6
1	17
28	81
48	1338
0	1550
1	1548
0	1550
0	1419
2	3480
6	1687
239	1192
0	1080
7	1420
5	2021
0	1923
0	74
246	1054
74	0
1	245
45	2
1	0
3	400
0	363
0	1031
0	1073
0	1242
0	1010
26	459
0	1183
12	443
0	378
13	237
47	364
0	1091
141	177
0	798
28	750
199	3276
2	1758
9	2358
1	27
37	27
143	174
2	291
285	0
1	48
11546	9343
0	9295
7	0
249	0
274	0
285	0
1	0
70	161
16	161
499	0
0	768
27	676
1	20
86	753
254	1300
0	95
0	826
1	0
2	18
1	76
0	4017
1	225
2	5315
3151	5628
0	3848
0	3654
72	0
0	3699
2	633
1	0
1	0
304	0
158	0
33	0
71	0
9	0
635	1863
0	1863
2	1814
1	279
158	312
0	542
0	1272
310	0
1312	4712
1	3300
11	89
571	4441
0	422
22	442
2	60
1	0
118	0
37	1337
137	1337
676	1739
49	1742
1113	140
63	794
0	435
7	140
0	17
0	762
0	533
11	48
0	6373
14	5655
0	2884
0	5939
0	5810
0	2353
0	2224
0	3167
0	3455
0	6654
38	2156
9	34
1	2717
6	1612
6	0
14	0
6	4729
0	2855
2	18421
0	18929
1	22059
265	32668
383	17001
0	1782
0	22858
9	1017
0	21690
2	22667
1	24193
3	23571
0	9859
0	14346
0	16724
1	15564
21	14084
6	20298
1	13902
5	1659
8	5370
28	1451
47	16553
1	16614
2006	1713
0	15187
2	578
0	62
7	616
890	2317
1	2317
0	191
516	186
7	162
1	2
26	2
0	2
2	0
1	0
673	0
2381	5119
513	772
49	585
453	593
0	96
33	286
204	3439
1	69
0	1039
541	385
0	1356
0	699
0	8077
0	8048
17	7383
233	7788
650	8149
158	8030
34	7831
0	7659
1	288
524	388
0	727
153	326
47	316
5	326
0	76
1	49
455	1222
929	1231
2	569
1	0
2	0
424	737
37	306
1	286
19	338
9	332
870	79
1	108
554	108
1	0
259	0
0	1373
46	1588
0	2067
1	2460
0	463
0	720
0	854
0	1722
0	311
0	306
2	2029
151	1416
0	1768
290	0
83	0
0	1911
649	991
0	1912
31	81
534	1906
17	2426
1	25
18	44
129	407
2614	407
3	10
0	62
2	62
21	0
2104	0
1	0
1	0
43	120
598	195
6	189
218	0
138	0
1	0
1	0
47	0
24	0
1	0
1	392
107	418
6	3580
1	5001
104	5649
10	3814
6	5
1	8
7	4
0	5321
14	394
280	2642
0	2771
37	13927
0	12682
0	13836
8	147
206	722
0	1
1972	252
134	89
24	2187
1	353
27	1863
31	12095
0	1677
1	53
0	4407
0	12994
3	1493
44	8830
0	13425
103	2655
8	15136
43	2473
157	4001
0	9744
0	12354
1	461
762	1928
76	11724
10	897
1	9
78	12536
371	13838
301	8156
0	6191
1	2162
478	0
2	10940
1	133
1	4688
2	8399
1	12
2	0
0	1046
647	10170
0	11650
0	9265
10790	34151
0	1954
1530	27853
165	18098
5	22687
44	1200
110	24
1	725
15	1092
162	1270
28	597
668	899
4	505
140	568
406	0
10	634
554	1931
0	785
1	86
222	1340
0	6
177	0
0	138
343	383
883	2591
1	5
314	2591
1	948
1	596
33	341
20	595
1	0
1	0
2	4395
380	4022
38	4017
0	4022
0	4294
879	4294
0	4598
18	4856
2	2249
1	3
0	258
226	63
1	72
67	6
6134	1531
66	1253
1	441
0	875
1	813
921	701
395	725
2	20
0	8
2	7
16	93
0	110
1	48
2	0
0	88
1	2
0	39
30	51
0	53
1	5
3	0
2	0
1	3442
0	2118
7	3516
0	4030
0	4545
0	3898
0	4526
1	3743
110	3753
1	1166
0	2403
1	1808
2	1051
26	3736
65	1399
16	0
949	2308
0	2480
5	2026
68	2110
20	42
13	6198
0	6594
