"Transcript_ID" "Gene_Name" "Description"
"ENST00000378733" "TMEM240" "protein_coding"
"ENST00000425828" "TMEM240" "protein_coding"
"ENST00000624426" "TMEM240" "protein_coding"
"ENST00000422725" "FNDC10" "protein_coding"
"ENST00000493183" "PRXL2B" "lncRNA"
"ENST00000474659" "PRXL2B" "lncRNA"
"ENST00000444521" "PRXL2B" "protein_coding"
"ENST00000378425" "PRXL2B" "protein_coding"
"ENST00000419916" "PRXL2B" "protein_coding"
"ENST00000378424" "PRXL2B" "protein_coding"
"ENST00000537325" "PRXL2B" "protein_coding"
"ENST00000378427" "PRXL2B" "protein_coding"
"ENST00000464043" "PRXL2B" "lncRNA"
"ENST00000465233" "PRXL2B" "protein_coding"
"ENST00000498083" "PRXL2B" "protein_coding"
"ENST00000481683" "PRXL2B" "lncRNA"
"ENST00000484099" "PRXL2B" "lncRNA"
"ENST00000477045" "PRXL2B" "retained_intron"
"ENST00000476686" "PRXL2B" "retained_intron"
"ENST00000234590" "ENO1" "protein_coding"
"ENST00000464920" "ENO1" "retained_intron"
"ENST00000647408" "ENO1" "protein_coding"
"ENST00000646370" "ENO1" "nonsense_mediated_decay"
"ENST00000645609" "ENO1" "retained_intron"
"ENST00000645600" "ENO1" "lncRNA"
"ENST00000497492" "ENO1" "protein_coding"
"ENST00000646660" "ENO1" "protein_coding"
"ENST00000646680" "ENO1" "nonsense_mediated_decay"
"ENST00000646906" "ENO1" "protein_coding"
"ENST00000646156" "ENO1" "protein_coding"
"ENST00000643438" "ENO1" "protein_coding"
"ENST00000489867" "ENO1" "protein_coding"
"ENST00000486051" "ENO1" "retained_intron"
"ENST00000492343" "ENO1" "retained_intron"
"ENST00000414948" "ENO1" "lncRNA"
"ENST00000477853" "EMC1" "protein_coding"
"ENST00000480380" "EMC1" "retained_intron"
"ENST00000375199" "EMC1" "protein_coding"
"ENST00000375208" "EMC1" "protein_coding"
"ENST00000461353" "EMC1" "retained_intron"
"ENST00000486405" "EMC1" "protein_coding"
"ENST00000486238" "EMC1" "nonsense_mediated_decay"
"ENST00000494770" "EMC1" "lncRNA"
"ENST00000462505" "EMC1" "retained_intron"
"ENST00000641089" "EMC1" "protein_coding"
"ENST00000467423" "EMC1" "retained_intron"
"ENST00000475079" "EMC1" "nonsense_mediated_decay"
"ENST00000488681" "EMC1" "retained_intron"
"ENST00000308271" "USP48" "protein_coding"
"ENST00000400301" "USP48" "protein_coding"
"ENST00000374732" "USP48" "protein_coding"
"ENST00000479177" "USP48" "lncRNA"
"ENST00000529637" "USP48" "protein_coding"
"ENST00000464577" "USP48" "retained_intron"
"ENST00000471752" "USP48" "retained_intron"
"ENST00000487880" "USP48" "lncRNA"
"ENST00000526044" "USP48" "protein_coding"
"ENST00000534705" "USP48" "protein_coding"
"ENST00000421625" "USP48" "protein_coding"
"ENST00000374730" "USP48" "nonsense_mediated_decay"
"ENST00000527823" "USP48" "protein_coding"
"ENST00000532737" "USP48" "protein_coding"
"ENST00000489108" "USP48" "lncRNA"
"ENST00000246151" "PITHD1" "protein_coding"
"ENST00000415372" "PITHD1" "protein_coding"
"ENST00000374524" "PITHD1" "protein_coding"
"ENST00000569495" "RSRP1" "lncRNA"
"ENST00000243189" "RSRP1" "protein_coding"
"ENST00000498238" "RSRP1" "retained_intron"
"ENST00000566395" "RSRP1" "nonsense_mediated_decay"
"ENST00000565733" "RSRP1" "nonsense_mediated_decay"
"ENST00000568254" "RSRP1" "nonsense_mediated_decay"
"ENST00000473314" "RSRP1" "nonsense_mediated_decay"
"ENST00000570063" "RSRP1" "retained_intron"
"ENST00000564223" "RSRP1" "lncRNA"
"ENST00000475766" "RSRP1" "lncRNA"
"ENST00000491378" "RSRP1" "retained_intron"
"ENST00000431849" "RSRP1" "protein_coding"
"ENST00000568212" "RSRP1" "retained_intron"
"ENST00000568701" "RSRP1" "protein_coding"
"ENST00000561867" "RSRP1" "protein_coding"
"ENST00000568996" "RSRP1" "protein_coding"
"ENST00000450820" "RSRP1" "lncRNA"
"ENST00000568399" "RSRP1" "lncRNA"
"ENST00000562018" "RSRP1" "lncRNA"
"ENST00000567741" "RSRP1" "lncRNA"
"ENST00000566599" "RSRP1" "lncRNA"
"ENST00000564413" "RSRP1" "lncRNA"
"ENST00000424294" "MTFR1L" "protein_coding"
"ENST00000533762" "MTFR1L" "protein_coding"
"ENST00000529116" "MTFR1L" "protein_coding"
"ENST00000474295" "MTFR1L" "protein_coding"
"ENST00000488327" "MTFR1L" "protein_coding"
"ENST00000472643" "MTFR1L" "protein_coding"
"ENST00000374303" "MTFR1L" "protein_coding"
"ENST00000494293" "MTFR1L" "retained_intron"
"ENST00000469815" "MTFR1L" "lncRNA"
"ENST00000526894" "MTFR1L" "protein_coding"
"ENST00000478284" "MTFR1L" "nonsense_mediated_decay"
"ENST00000524618" "MTFR1L" "protein_coding"
"ENST00000374307" "MTFR1L" "protein_coding"
"ENST00000528624" "MTFR1L" "nonsense_mediated_decay"
"ENST00000525713" "MTFR1L" "protein_coding"
"ENST00000374301" "MTFR1L" "protein_coding"
"ENST00000464008" "MTFR1L" "nonsense_mediated_decay"
"ENST00000526158" "MTFR1L" "protein_coding"
"ENST00000530599" "MTFR1L" "nonsense_mediated_decay"
"ENST00000374300" "MTFR1L" "protein_coding"
"ENST00000466284" "MTFR1L" "protein_coding"
"ENST00000531361" "MTFR1L" "lncRNA"
"ENST00000497956" "MTFR1L" "retained_intron"
"ENST00000466796" "TMEM234" "retained_intron"
"ENST00000495091" "TMEM234" "lncRNA"
"ENST00000491434" "TMEM234" "nonsense_mediated_decay"
"ENST00000489170" "TMEM234" "nonsense_mediated_decay"
"ENST00000461402" "TMEM234" "nonsense_mediated_decay"
"ENST00000483001" "TMEM234" "nonsense_mediated_decay"
"ENST00000309777" "TMEM234" "protein_coding"
"ENST00000373593" "TMEM234" "protein_coding"
"ENST00000344461" "TMEM234" "protein_coding"
"ENST00000484490" "TMEM234" "nonsense_mediated_decay"
"ENST00000485689" "TMEM234" "lncRNA"
"ENST00000487174" "TMEM234" "retained_intron"
"ENST00000373337" "TMEM35B" "protein_coding"
"ENST00000373206" "AGO1" "protein_coding"
"ENST00000373204" "AGO1" "protein_coding"
"ENST00000635259" "AGO1" "nonsense_mediated_decay"
"ENST00000324350" "AGO3" "protein_coding"
"ENST00000397828" "AGO3" "protein_coding"
"ENST00000634486" "AGO3" "nonsense_mediated_decay"
"ENST00000373191" "AGO3" "protein_coding"
"ENST00000246314" "AGO3" "protein_coding"
"ENST00000491443" "AGO3" "retained_intron"
"ENST00000471099" "AGO3" "retained_intron"
"ENST00000429533" "MAP7D1" "protein_coding"
"ENST00000316156" "MAP7D1" "protein_coding"
"ENST00000527764" "MAP7D1" "retained_intron"
"ENST00000373150" "MAP7D1" "protein_coding"
"ENST00000373151" "MAP7D1" "protein_coding"
"ENST00000530729" "MAP7D1" "protein_coding"
"ENST00000462118" "MAP7D1" "retained_intron"
"ENST00000474796" "MAP7D1" "lncRNA"
"ENST00000530975" "MAP7D1" "protein_coding"
"ENST00000487131" "MAP7D1" "lncRNA"
"ENST00000373148" "MAP7D1" "lncRNA"
"ENST00000532131" "MAP7D1" "retained_intron"
"ENST00000487114" "MAP7D1" "retained_intron"
"ENST00000331835" "SELENOF" "protein_coding"
"ENST00000611507" "SELENOF" "protein_coding"
"ENST00000616787" "SELENOF" "protein_coding"
"ENST00000370554" "SELENOF" "protein_coding"
"ENST00000648872" "SELENOF" "nonsense_mediated_decay"
"ENST00000469566" "SELENOF" "lncRNA"
"ENST00000401030" "SELENOF" "protein_coding"
"ENST00000497861" "SELENOF" "protein_coding"
"ENST00000467557" "SELENOF" "nonsense_mediated_decay"
"ENST00000370152" "MFSD14A" "protein_coding"
"ENST00000421661" "MFSD14A" "retained_intron"
"ENST00000370128" "RTCA" "protein_coding"
"ENST00000498617" "RTCA" "lncRNA"
"ENST00000483474" "RTCA" "lncRNA"
"ENST00000260563" "RTCA" "protein_coding"
"ENST00000370126" "RTCA" "protein_coding"
"ENST00000369796" "STRIP1" "protein_coding"
"ENST00000369795" "STRIP1" "protein_coding"
"ENST00000489059" "STRIP1" "retained_intron"
"ENST00000485775" "STRIP1" "nonsense_mediated_decay"
"ENST00000540970" "STRIP1" "retained_intron"
"ENST00000473429" "STRIP1" "retained_intron"
"ENST00000535003" "STRIP1" "retained_intron"
"ENST00000539541" "STRIP1" "retained_intron"
"ENST00000461054" "STRIP1" "retained_intron"
"ENST00000483260" "LAMTOR5" "protein_coding"
"ENST00000474861" "LAMTOR5" "protein_coding"
"ENST00000464240" "LAMTOR5" "retained_intron"
"ENST00000602318" "LAMTOR5" "protein_coding"
"ENST00000256644" "LAMTOR5" "protein_coding"
"ENST00000602858" "LAMTOR5" "protein_coding"
"ENST00000614544" "LAMTOR5" "protein_coding"
"ENST00000531779" "LAMTOR5" "retained_intron"
"ENST00000482825" "CERS2" "retained_intron"
"ENST00000561294" "CERS2" "protein_coding"
"ENST00000560793" "CERS2" "protein_coding"
"ENST00000345896" "CERS2" "lncRNA"
"ENST00000271688" "CERS2" "protein_coding"
"ENST00000368954" "CERS2" "protein_coding"
"ENST00000460664" "CERS2" "retained_intron"
"ENST00000368949" "CERS2" "protein_coding"
"ENST00000361419" "CERS2" "protein_coding"
"ENST00000559660" "CERS2" "retained_intron"
"ENST00000558062" "CERS2" "protein_coding"
"ENST00000559020" "CERS2" "retained_intron"
"ENST00000421609" "CERS2" "protein_coding"
"ENST00000457392" "CERS2" "protein_coding"
"ENST00000614256" "CHTOP" "protein_coding"
"ENST00000368690" "CHTOP" "protein_coding"
"ENST00000368694" "CHTOP" "protein_coding"
"ENST00000495554" "CHTOP" "lncRNA"
"ENST00000403433" "CHTOP" "protein_coding"
"ENST00000368687" "CHTOP" "protein_coding"
"ENST00000368686" "CHTOP" "protein_coding"
"ENST00000537147" "ACKR1" "protein_coding"
"ENST00000368122" "ACKR1" "protein_coding"
"ENST00000368121" "ACKR1" "protein_coding"
"ENST00000435307" "ACKR1" "retained_intron"
"ENST00000271373" "MPC2" "protein_coding"
"ENST00000367846" "MPC2" "protein_coding"
