"Transcript_ID" "Gene_Name" "Description"
"ENST00000375406" "ACTL8" "protein_coding"
"ENST00000617065" "ACTL8" "protein_coding"
"ENST00000320567" "KDF1" "protein_coding"
"ENST00000616918" "KDF1" "protein_coding"
"ENST00000328928" "THEMIS2" "protein_coding"
"ENST00000373921" "THEMIS2" "protein_coding"
"ENST00000373925" "THEMIS2" "protein_coding"
"ENST00000373927" "THEMIS2" "protein_coding"
"ENST00000427466" "THEMIS2" "protein_coding"
"ENST00000442118" "THEMIS2" "protein_coding"
"ENST00000467258" "THEMIS2" "lncRNA"
"ENST00000466068" "THEMIS2" "lncRNA"
"ENST00000482828" "THEMIS2" "lncRNA"
"ENST00000456990" "THEMIS2" "protein_coding"
"ENST00000492877" "THEMIS2" "lncRNA"
"ENST00000642260" "EPB41" "protein_coding"
"ENST00000647103" "EPB41" "protein_coding"
"ENST00000343067" "EPB41" "protein_coding"
"ENST00000356093" "EPB41" "protein_coding"
"ENST00000646189" "EPB41" "protein_coding"
"ENST00000644342" "EPB41" "protein_coding"
"ENST00000646800" "EPB41" "nonsense_mediated_decay"
"ENST00000647918" "EPB41" "lncRNA"
"ENST00000482464" "EPB41" "lncRNA"
"ENST00000642937" "EPB41" "protein_coding"
"ENST00000373800" "EPB41" "protein_coding"
"ENST00000643155" "EPB41" "nonsense_mediated_decay"
"ENST00000649717" "EPB41" "protein_coding"
"ENST00000347529" "EPB41" "protein_coding"
"ENST00000646260" "EPB41" "protein_coding"
"ENST00000373798" "EPB41" "protein_coding"
"ENST00000644600" "EPB41" "protein_coding"
"ENST00000649674" "EPB41" "retained_intron"
"ENST00000643173" "EPB41" "protein_coding"
"ENST00000648181" "EPB41" "protein_coding"
"ENST00000650265" "EPB41" "protein_coding"
"ENST00000644780" "EPB41" "protein_coding"
"ENST00000648891" "EPB41" "nonsense_mediated_decay"
"ENST00000643604" "EPB41" "protein_coding"
"ENST00000373797" "EPB41" "protein_coding"
"ENST00000349460" "EPB41" "protein_coding"
"ENST00000645184" "EPB41" "protein_coding"
"ENST00000645111" "EPB41" "lncRNA"
"ENST00000645999" "EPB41" "retained_intron"
"ENST00000643302" "EPB41" "lncRNA"
"ENST00000642643" "EPB41" "nonsense_mediated_decay"
"ENST00000636666" "EPB41" "protein_coding"
"ENST00000644848" "EPB41" "protein_coding"
"ENST00000644470" "EPB41" "protein_coding"
"ENST00000646871" "EPB41" "protein_coding"
"ENST00000488277" "EPB41" "lncRNA"
"ENST00000490308" "EPB41" "retained_intron"
"ENST00000650132" "EPB41" "lncRNA"
"ENST00000649992" "EPB41" "retained_intron"
"ENST00000460378" "EPB41" "retained_intron"
